"persona_id","nickname","label","platform","device","churn_risk","top_complaint_1","top_score_1","top_complaint_2","top_score_2","top_complaint_3","top_score_3"
"P001","小夏","抖音3分钟新客·A","douyin","mid_android","低","菜品/供应链等侧系统深度不足","53","没有字体缩放/高可读设置","40","",""
"P002","阿诚","抖音3分钟新客·B","douyin","mid_android","低","菜品/供应链等侧系统深度不足","49","","","",""
"P003","柚子","抖音3分钟新客·C","douyin","small_android","低","菜品/供应链等侧系统深度不足","47","","","",""
"P004","老周","抖音3分钟新客·D","douyin","low_android","低","菜品/供应链等侧系统深度不足","51","没有字体缩放/高可读设置","38","",""
"P005","米粒","抖音广告敏感玩家·A","douyin","mid_android","低","菜品/供应链等侧系统深度不足","48","没有字体缩放/高可读设置","39","",""
"P006","阿岚","抖音广告敏感玩家·B","douyin","mid_android","低","菜品/供应链等侧系统深度不足","45","","","",""
"P007","北北","抖音广告敏感玩家·C","douyin","small_android","低","菜品/供应链等侧系统深度不足","43","","","",""
"P008","青禾","抖音广告敏感玩家·D","douyin","low_android","低","菜品/供应链等侧系统深度不足","46","","","",""
"P009","小林","碎片化通勤玩家·A","douyin","small_android","低","没有字体缩放/高可读设置","46","菜品/供应链等侧系统深度不足","46","",""
"P010","大海","碎片化通勤玩家·B","douyin","small_android","低","没有字体缩放/高可读设置","43","菜品/供应链等侧系统深度不足","43","",""
"P011","七七","碎片化通勤玩家·C","douyin","small_android","低","没有字体缩放/高可读设置","41","菜品/供应链等侧系统深度不足","41","",""
"P012","木木","碎片化通勤玩家·D","douyin","low_android","低","没有字体缩放/高可读设置","44","菜品/供应链等侧系统深度不足","44","",""
"P013","阿哲","抖音回流玩家·A","douyin","mid_android","低","菜品/供应链等侧系统深度不足","50","","","",""
"P014","麦子","抖音回流玩家·B","douyin","mid_android","低","菜品/供应链等侧系统深度不足","47","","","",""
"P015","晓南","抖音回流玩家·C","douyin","small_android","低","菜品/供应链等侧系统深度不足","45","","","",""
"P016","阿婧","抖音回流玩家·D","douyin","low_android","低","菜品/供应链等侧系统深度不足","48","","","",""
"P017","石头","TapTap经营模拟核心玩家·A","taptap","high_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P018","沐风","TapTap经营模拟核心玩家·B","taptap","high_android","中","菜品/供应链等侧系统深度不足","60","","","",""
"P019","思思","TapTap经营模拟核心玩家·C","taptap","small_android","中","菜品/供应链等侧系统深度不足","58","","","",""
